Country,Year,Tournament,Stage,Success Score,Domesticity_Index,Market Value (€M),Average Age,Players From Top 5 Leage,Squad Size,Top 5 League Ratio,FIFA Rank
Italy,1998,World Cup,Quarter Finalist,40,72.0,,28.5,18,22,0.8181818181818182,14.0
Argentina,1998,World Cup,Quarter Finalist,40,80.7,,26.6,13,22,0.5909090909090909,6.0
Germany,1998,World Cup,Quarter Finalist,40,63.9,,30.7,16,22,0.7272727272727272,2.0
Denmark,1998,World Cup,Quarter Finalist,40,78.4,,30.0,12,22,0.5454545454545454,27.0
Brazil,1994,World Cup,Winner,100,99.4,,28.5,6,22,0.2727272727272727,1.0
Italy,1994,World Cup,Second,80,82.0,,26.7,18,22,0.8181818181818182,16.0
Sweden,1994,World Cup,Semi Finalist,60,86.1,,26.6,13,22,0.5909090909090909,3.0
Bulgaria,1994,World Cup,Semi Finalist,60,90.0,,27.9,9,22,0.4090909090909091,29.0
Germany,1994,World Cup,Quarter Finalist,40,79.2,,29.5,19,22,0.8636363636363636,2.0
Romania,1994,World Cup,Quarter Finalist,40,90.3,,26.0,8,22,0.3636363636363636,10.0
Netherlands,1994,World Cup,Quarter Finalist,40,91.3,,27.7,17,22,0.7727272727272727,11.0
Spain,1994,World Cup,Quarter Finalist,40,79.5,,26.2,19,22,0.8636363636363636,9.0
Germany,1990,World Cup,Winner,100,85.4,,27.7,18,22,0.8181818181818182,
Argentina,1990,World Cup,Second,80,94.8,,28.8,10,22,0.4545454545454545,
Italy,1990,World Cup,Semi Finalist,60,81.0,,27.2,20,22,0.909090909090909,
England,1990,World Cup,Semi Finalist,60,76.5,,29.0,16,22,0.7272727272727272,
Yugoslavia,1990,World Cup,Quarter Finalist,40,91.2,,28.5,10,22,0.4545454545454545,
Ireland,1990,World Cup,Quarter Finalist,40,65.4,,29.0,11,22,0.5,
Czechoslovakia,1990,World Cup,Quarter Finalist,40,92.6,,27.8,8,22,0.3636363636363636,
Cameroon,1990,World Cup,Quarter Finalist,40,88.2,,26.2,7,22,0.3181818181818181,
Argentina,1986,World Cup,Winner,100,96.1,,26.7,6,22,0.2727272727272727,
West Germany,1986,World Cup,Second,80,90.3,,29.2,18,22,0.8181818181818182,
France,1986,World Cup,Semi Finalist,60,82.1,,28.6,15,22,0.6818181818181817,
Belgium,1986,World Cup,Semi Finalist,60,73.3,,26.7,10,22,0.4545454545454545,
Brazil,1986,World Cup,Quarter Finalist,40,81.4,,26.5,8,22,0.3636363636363636,
Mexico,1986,World Cup,Quarter Finalist,40,95.3,,26.9,2,22,0.0909090909090909,
Spain,1986,World Cup,Quarter Finalist,40,88.3,,26.5,17,22,0.7727272727272727,
England,1986,World Cup,Quarter Finalist,40,86.7,,27.7,16,22,0.7272727272727272,
Spain,2024,EURO,Winner,100,57.2,1050.0,25.9,23,26,0.8846153846153845,8.0
England,2024,EURO,Second,80,29.0,1380.0,26.1,26,26,1.0,4.0
France,2024,EURO,Semi Finalist,60,36.3,1320.0,26.9,21,26,0.8076923076923077,2.0
Netherlands,2024,EURO,Semi Finalist,60,45.7,830.0,27.2,15,26,0.5769230769230768,7.0
Germany,2024,EURO,Quarter Finalist,40,46.7,970.0,28.5,20,26,0.7692307692307692,16.0
Portugal,2024,EURO,Quarter Finalist,40,37.9,1100.0,27.0,18,26,0.6923076923076922,6.0
Turkey,2024,EURO,Quarter Finalist,40,38.7,440.0,25.7,10,26,0.3846153846153846,40.0
Switzerland,2024,EURO,Quarter Finalist,40,36.2,330.0,27.8,16,26,0.6153846153846154,19.0
Italy,2020,EURO,Winner,100,37.8,510.0,28.3,14,26,0.5384615384615384,7.0
England,2020,EURO,Second,80,33.2,1050.0,26.3,26,26,1.0,4.0
Spain,2020,EURO,Semi Finalist,60,58.6,900.0,26.8,17,26,0.6538461538461539,6.0
Denmark,2020,EURO,Semi Finalist,60,60.3,330.0,26.7,14,26,0.5384615384615384,10.0
Switzerland,2020,EURO,Quarter Finalist,40,52.4,270.0,27.4,14,26,0.5384615384615384,13.0
Belgium,2020,EURO,Quarter Finalist,40,36.3,950.0,28.5,22,26,0.8461538461538461,1.0
Czech Republic,2020,EURO,Quarter Finalist,40,77.7,180.0,27.2,8,26,0.3076923076923077,40.0
Ukraine,2020,EURO,Quarter Finalist,40,78.3,155.0,26.9,7,26,0.2692307692307692,24.0
Portugal,2016,EURO,Winner,100,46.3,440.0,27.5,18,23,0.782608695652174,8.0
France,2016,EURO,Second,80,45.2,720.0,26.4,21,23,0.9130434782608696,17.0
Germany,2016,EURO,Semi Finalist,60,44.4,700.0,27.2,20,23,0.8695652173913043,4.0
Wales,2016,EURO,Semi Finalist,60,58.1,100.0,27.1,13,23,0.5652173913043477,26.0
Poland,2016,EURO,Quarter Finalist,40,65.5,170.0,26.8,10,23,0.4347826086956521,28.0
Belgium,2016,EURO,Quarter Finalist,40,36.7,560.0,27.6,22,23,0.9565217391304348,2.0
Italy,2016,EURO,Quarter Finalist,40,42.7,480.0,28.9,16,23,0.6956521739130433,12.0
Iceland,2016,EURO,Quarter Finalist,40,68.4,38.0,28.2,10,23,0.4347826086956521,34.0
Spain,2012,EURO,Winner,100,61.0,500.0,27.8,23,23,1.0,1.0
Italy,2012,EURO,Second,80,53.3,330.0,29.1,16,23,0.6956521739130433,12.0
Germany,2012,EURO,Semi Finalist,60,48.8,470.0,26.4,18,23,0.782608695652174,3.0
Portugal,2012,EURO,Semi Finalist,60,39.1,310.0,27.3,17,23,0.7391304347826086,10.0
France,2012,EURO,Quarter Finalist,40,49.9,420.0,27.0,19,23,0.8260869565217391,14.0
Greece,2012,EURO,Quarter Finalist,40,49.4,95.0,28.7,8,23,0.3478260869565217,15.0
Czech Republic,2012,EURO,Quarter Finalist,40,84.0,100.0,27.6,7,23,0.3043478260869565,27.0
England,2012,EURO,Quarter Finalist,40,36.3,390.0,26.9,23,23,1.0,6.0
Spain,2008,EURO,Winner,100,60.4,350.0,26.6,23,23,1.0,4.0
Germany,2008,EURO,Second,80,43.3,310.0,26.2,17,23,0.7391304347826086,5.0
Turkey,2008,EURO,Semi Finalist,60,69.3,85.0,26.8,8,23,0.3478260869565217,20.0
Russia,2008,EURO,Semi Finalist,60,49.2,120.0,27.2,2,23,0.0869565217391304,24.0
Portugal,2008,EURO,Quarter Finalist,40,43.1,230.0,27.7,16,23,0.6956521739130433,11.0
Croatia,2008,EURO,Quarter Finalist,40,78.7,80.0,27.3,11,23,0.4782608695652174,15.0
Netherlands,2008,EURO,Quarter Finalist,40,56.5,280.0,27.8,16,23,0.6956521739130433,10.0
Italy,2008,EURO,Quarter Finalist,40,67.4,260.0,29.5,20,23,0.8695652173913043,3.0
Greece,2004,EURO,Winner,100,69.8,75.0,29.3,9,23,0.391304347826087,35.0
Portugal,2004,EURO,Second,80,56.4,185.0,26.1,15,23,0.6521739130434782,22.0
Czech Republic,2004,EURO,Semi Finalist,60,86.1,90.0,27.5,10,23,0.4347826086956521,11.0
Netherlands,2004,EURO,Semi Finalist,60,62.1,200.0,28.3,17,23,0.7391304347826086,5.0
England,2004,EURO,Quarter Finalist,40,36.7,240.0,27.1,23,23,1.0,13.0
France,2004,EURO,Quarter Finalist,40,57.2,260.0,28.8,21,23,0.9130434782608696,2.0
Sweden,2004,EURO,Quarter Finalist,40,75.8,85.0,28.6,11,23,0.4782608695652174,18.0
Denmark,2004,EURO,Quarter Finalist,40,80.3,70.0,27.9,13,23,0.5652173913043477,15.0
France,2000,EURO,Winner,100,70.4,,28.0,18,23,0.782608695652174,2.0
Italy,2000,EURO,Second,80,67.2,,27.3,16,23,0.6956521739130433,14.0
Netherlands,2000,EURO,Semi Finalist,60,67.3,,27.3,18,23,0.782608695652174,21.0
Portugal,2000,EURO,Semi Finalist,60,59.0,,28.2,14,23,0.608695652173913,15.0
Spain,2000,EURO,Quarter Finalist,40,59.0,,27.2,18,23,0.782608695652174,4.0
Turkey,2000,EURO,Quarter Finalist,40,76.1,,27.5,10,23,0.4347826086956521,35.0
Romania,2000,EURO,Quarter Finalist,40,93.0,,27.7,8,23,0.3478260869565217,11.0
Yugoslavia,2000,EURO,Quarter Finalist,40,89.1,,28.7,7,23,0.3043478260869565,13.0
Germany,1996,EURO,Winner,100,76.5,,28.6,17,23,0.7391304347826086,1.0
Czech Republic,1996,EURO,Second,80,89.1,,26.5,8,23,0.3478260869565217,10.0
England,1996,EURO,Semi Finalist,60,63.5,,28.7,22,23,0.9565217391304348,24.0
France,1996,EURO,Semi Finalist,60,78.4,,27.8,16,23,0.6956521739130433,4.0
Spain,1996,EURO,Quarter Finalist,40,79.1,,27.4,17,23,0.7391304347826086,5.0
Netherlands,1996,EURO,Quarter Finalist,40,86.1,,25.9,18,23,0.782608695652174,13.0
Croatia,1996,EURO,Quarter Finalist,40,84.8,,28.5,7,23,0.3043478260869565,27.0
Portugal,1996,EURO,Quarter Finalist,40,64.5,,25.4,12,23,0.5217391304347825,18.0
Denmark,1992,EURO,Winner,100,96.1,,27.8,9,23,0.391304347826087,9.0
Germany,1992,EURO,Second,80,86.1,,26.9,17,23,0.7391304347826086,1.0
Netherlands,1992,EURO,Semi Finalist,60,90.3,,29.1,17,23,0.7391304347826086,7.0
Sweden,1992,EURO,Semi Finalist,60,88.4,,25.0,9,23,0.391304347826087,4.0
France,1992,EURO,Quarter Finalist,40,74.8,,27.7,16,23,0.6956521739130433,19.0
Scotland,1992,EURO,Quarter Finalist,40,82.0,,28.1,14,23,0.608695652173913,23.0
CIS (Soviet Union),1992,EURO,Quarter Finalist,40,91.9,,25.6,3,23,0.1304347826086956,8.0
England,1992,EURO,Quarter Finalist,40,68.9,,27.8,22,23,0.9565217391304348,5.0
Netherlands,1988,EURO,Winner,100,91.0,,27.7,13,23,0.5652173913043477,
Soviet Union,1988,EURO,Second,80,92.0,,27.4,1,23,0.0434782608695652,
West Germany,1988,EURO,Semi Finalist,60,87.8,,26.7,16,23,0.6956521739130433,
Italy,1988,EURO,Semi Finalist,60,87.0,,25.0,15,23,0.6521739130434782,
Ireland,1988,EURO,Quarter Finalist,40,92.0,,28.9,12,23,0.5217391304347825,
Spain,1988,EURO,Quarter Finalist,40,88.3,,26.8,14,23,0.608695652173913,
Denmark,1988,EURO,Quarter Finalist,40,98.0,,28.5,9,23,0.391304347826087,
England,1988,EURO,Quarter Finalist,40,90.2,,27.4,22,23,0.9565217391304348,
